timestamp, mac, rss, battery
2013-11-12 18:48:35.097000,4694202700110029,-48,5C19,0
2013-11-12 18:48:36.163000,4694202700110029,-50,5D19,0
2013-11-12 18:48:37.183000,4694202700110029,-51,5E19,0
2013-11-12 18:48:38.155000,4694202700110029,-50,5F19,0
2013-11-12 18:48:39.207000,4694202700110029,-50,6019,0
2013-11-12 18:48:40.275000,4694202700110029,-51,6119,0
2013-11-12 18:48:41.296000,4694202700110029,-50,6219,0
2013-11-12 18:48:42.332000,4694202700110029,-50,6319,0
2013-11-12 18:48:43.400000,4694202700110029,-50,6419,0
2013-11-12 18:48:45.440000,4694202700110029,-50,6619,0
2013-11-12 18:48:46.477000,4694202700110029,-50,6719,0
2013-11-12 18:48:47.513000,4694202700110029,-51,6819,0
2013-11-12 18:48:48.565000,4694202700110029,-51,6919,0
2013-11-12 18:48:49.553000,4694202700110029,-51,6A19,0
2013-11-12 18:48:50.605000,4694202700110029,-50,6B19,0
2013-11-12 18:48:51.577000,4694202700110029,-50,6C19,0
2013-11-12 18:48:52.567000,4694202700110029,-50,6D19,0
2013-11-12 18:48:53.587000,4694202700110029,-50,6E19,0
2013-11-12 18:48:54.655000,4694202700110029,-50,6F19,0
2013-11-12 18:48:55.692000,4694202700110029,-50,7019,0
2013-11-12 18:48:56.760000,4694202700110029,-50,7119,0
2013-11-12 18:49:00.943000,4694202700110029,-56,7519,0
2013-11-12 18:49:01.916000,4694202700110029,-56,7619,0
2013-11-12 18:49:02.968000,4694202700110029,-56,7719,0
2013-11-12 18:49:04.020000,4694202700110029,-58,7819,0
2013-11-12 18:49:05.026000,4694202700110029,-57,7919,0
2013-11-12 18:49:06.094000,4694202700110029,-53,7A19,0
2013-11-12 18:49:07.163000,4694202700110029,-50,7B19,0
2013-11-12 18:49:08.230000,4694202700110029,-51,7C19,0
2013-11-12 18:49:09.235000,4694202700110029,-52,7D19,0
2013-11-12 18:49:10.272000,4694202700110029,-51,7E19,0
2013-11-12 18:49:11.325000,4694202700110029,-51,7F19,0
2013-11-12 18:49:12.378000,4694202700110029,-52,8019,0
